"Order Date","Product Name","Category","Region","Price","Quantity","Sales","Profit"
"2024-12-17","Smartwatch","Electronics","East","363","3","2118","317.08"
"2024-10-09","Smartwatch","Electronics","North","364","5","830","58.28"
"2023-07-14","Smartwatch","Electronics","North","365","1","851","93.56"
"2023-12-05","Tablet","Electronics","East","366","5","4730","1365.63"
"2022-06-03","Mouse","Accessories","West","367","6","5460","845.75"
"2024-12-28","Headphones","Accessories","East","368","5","5795","310.6"
"2022-08-06","Laptop","Electronics","South","369","4","2008","338.44"
"2023-06-06","Mouse","Accessories","South","370","7","2842","425.24"
"2024-02-01","Mouse","Accessories","East","371","4","3404","392.22"
"2023-05-31","Smartwatch","Electronics","West","372","1","1065","228.63"
"2024-06-14","Tablet","Electronics","West","373","7","2149","121.69"
"2024-08-14","Keyboard","Accessories","East","374","8","5912","1143.04"
"2023-02-01","Mouse","Accessories","West","375","3","3348","331.28"
"2024-04-28","Smartphone","Electronics","South","376","3","2409","531.79"
"2024-04-05","Tablet","Electronics","North","377","2","328","39.51"
"2024-01-31","Smartphone","Electronics","West","378","8","6224","1561.42"
"2024-01-09","Smartwatch","Electronics","North","379","5","2530","486.09"
"2022-04-06","Headphones","Accessories","West","380","4","4108","462.17"
"2024-05-22","Printer","Office","South","381","5","1640","391.36"
"2023-12-30","Laptop","Electronics","South","382","1","111","19.33"
"2022-03-17","Headphones","Accessories","North","383","1","445","128.89"
"2022-05-24","Printer","Office","North","384","4","3600","623.72"
"2024-06-09","Mouse","Accessories","North","385","3","1335","176.44"
"2024-12-01","Keyboard","Accessories","South","386","5","3090","242.15"
"2023-10-20","Printer","Office","East","387","5","3910","538.52"
"2024-03-05","Camera","Electronics","South","388","1","219","32.67"
"2022-12-05","Smartphone","Electronics","West","389","5","390","27.77"
"2022-08-05","Laptop","Electronics","North","390","6","3294","359.61"
"2023-03-21","Keyboard","Accessories","West","391","4","4572","1038.05"
"2022-02-08","Monitor","Accessories","South","392","7","980","109.94"
"2023-04-01","Headphones","Accessories","North","393","2","2262","532.12"
"2022-12-14","Camera","Electronics","South","394","7","7518","1655.91"
"2022-05-14","Camera","Electronics","South","395","1","873","158.97"
"2022-02-16","Mouse","Accessories","North","396","6","1512","423.03"
"2024-08-28","Laptop","Electronics","West","397","1","705","165.16"
"2023-10-30","Smartwatch","Electronics","North","398","8","3256","533.7"
"2023-06-24","Tablet","Electronics","West","399","4","556","81.77"
"2023-05-17","Mouse","Accessories","East","400","9","7101","2105.82"
"2023-04-06","Laptop","Electronics","West","401","9","8802","1344.96"
"2023-03-26","Headphones","Accessories","South","402","6","5592","1294.16"
"2024-10-12","Tablet","Electronics","North","403","2","1852","168.92"
"2022-06-26","Monitor","Accessories","East","404","1","195","57.88"
"2022-04-15","Mouse","Accessories","East","405","9","7884","2054.02"
"2023-12-10","Laptop","Electronics","East","406","5","4360","1160.55"
"2024-09-23","Mouse","Accessories","North","407","6","4920","929.18"
"2022-01-01","Mouse","Accessories","East","408","3","3474","565"
"2022-02-03","Keyboard","Accessories","West","409","1","930","222.5"
"2023-03-14","Tablet","Electronics","South","410","7","1421","248.02"
"2022-08-24","Headphones","Accessories","North","411","2","634","161.1"
"2024-07-07","Camera","Electronics","East","412","1","673","114.42"
"2022-04-13","Mouse","Accessories","South","413","5","3135","787.7"
"2024-05-08","Smartphone","Electronics","East","414","6","882","184.48"
"2024-09-10","Smartphone","Electronics","East","415","4","1192","212.77"
"2024-06-18","Printer","Office","South","416","3","390","112.08"
"2024-09-10","Tablet","Electronics","North","417","1","834","95.54"
"2022-05-06","Smartphone","Electronics","East","418","6","612","83.75"
"2024-06-18","Headphones","Accessories","West","419","9","8073","710.23"
"2023-10-29","Keyboard","Accessories","North","420","8","2640","723.88"
"2023-11-13","Smartphone","Electronics","North","421","3","3234","440.7"
"2022-08-21","Monitor","Accessories","West","422","5","4435","355.51"
"2024-03-04","Smartwatch","Electronics","North","423","2","2302","305.07"
"2022-04-17","Camera","Electronics","East","424","6","1728","307.44"
"2023-12-20","Laptop","Electronics","East","425","4","228","54.05"
"2022-03-19","Tablet","Electronics","West","426","6","3450","705.74"
"2024-07-07","Smartphone","Electronics","South","427","8","7456","1702.48"
"2023-04-30","Smartphone","Electronics","West","428","6","4728","705.85"
"2024-03-22","Smartwatch","Electronics","North","429","7","945","124.62"
"2022-03-08","Laptop","Electronics","North","430","4","296","65.05"
"2023-09-15","Smartphone","Electronics","West","431","4","640","149.89"
"2023-03-01","Tablet","Electronics","North","432","1","797","65.27"
"2023-10-24","Monitor","Accessories","North","433","4","1456","431.89"
"2024-04-22","Monitor","Accessories","South","434","6","4038","364.11"
"2023-06-27","Tablet","Electronics","West","435","7","5656","355.81"
"2023-04-13","Mouse","Accessories","West","436","4","3876","302.37"
"2023-05-19","Keyboard","Accessories","South","437","6","1002","114.7"
"2024-11-15","Headphones","Accessories","East","438","9","2187","413.76"
"2023-12-25","Mouse","Accessories","North","439","6","7146","1627.42"
"2022-03-31","Keyboard","Accessories","South","440","1","189","14.88"
"2024-04-24","Monitor","Accessories","East","441","5","940","266.02"
"2022-01-10","Headphones","Accessories","North","442","1","951","127.58"
"2022-11-17","Printer","Office","East","443","2","124","27.42"
"2024-06-29","Mouse","Accessories","West","444","9","7506","594.28"
"2022-11-14","Monitor","Accessories","West","445","7","8176","2308.76"
"2023-08-11","Smartphone","Electronics","East","446","5","2125","632.68"
"2024-05-22","Headphones","Accessories","North","447","1","967","59.98"
"2022-03-19","Headphones","Accessories","South","448","5","270","29.41"
"2022-10-23","Keyboard","Accessories","West","449","9","10035","1486.3"
"2023-02-26","Printer","Office","North","450","8","6792","1125.23"
"2024-10-03","Printer","Office","East","451","1","714","99.13"
"2022-07-17","Smartphone","Electronics","South","452","5","765","157.64"
"2024-11-04","Headphones","Accessories","East","453","7","4221","358.02"
"2023-02-24","Laptop","Electronics","North","454","4","2108","576.48"
"2024-08-08","Monitor","Accessories","North","455","9","10530","2387.63"
"2024-05-14","Keyboard","Accessories","South","456","6","3396","914.17"
"2022-01-15","Monitor","Accessories","North","457","4","1060","213.05"
"2022-05-10","Tablet","Electronics","East","458","5","480","73.07"
"2022-03-10","Headphones","Accessories","West","459","3","2529","285.65"
"2022-01-23","Smartwatch","Electronics","East","460","8","4792","511.97"
"2024-09-19","Smartwatch","Electronics","East","461","8","8056","605.8"
"2024-06-06","Tablet","Electronics","North","462","4","4228","947.76"
"2024-10-10","Tablet","Electronics","East","463","1","653","93.78"
"2024-03-24","Tablet","Electronics","North","464","9","7452","1212.51"
"2023-07-21","Mouse","Accessories","East","465","4","4128","1156.71"
"2022-07-21","Tablet","Electronics","West","466","5","5090","1201.56"
"2022-09-01","Camera","Electronics","North","467","5","4930","387.33"
"2023-04-20","Smartwatch","Electronics","South","468","6","2610","434.37"
"2023-12-11","Laptop","Electronics","North","469","3","2139","415.84"
"2024-09-29","Tablet","Electronics","South","470","1","226","55.4"
"2023-11-20","Smartwatch","Electronics","West","471","2","2244","212.08"
"2023-07-15","Monitor","Accessories","East","472","6","3150","578.87"
"2023-12-24","Laptop","Electronics","South","473","7","3388","347.19"
"2023-08-13","Laptop","Electronics","East","474","8","8736","580.31"
"2022-04-24","Smartphone","Electronics","South","475","2","1102","176.53"
"2024-07-13","Monitor","Accessories","East","476","3","2640","199.97"
"2022-06-11","Printer","Office","West","477","3","2547","300.74"
"2024-10-28","Laptop","Electronics","North","478","7","728","64.82"
"2022-11-24","Camera","Electronics","South","479","7","3444","607.44"
"2024-10-03","Camera","Electronics","West","480","5","3140","853.66"
"2024-03-24","Smartphone","Electronics","East","481","3","435","129.27"
"2024-06-28","Keyboard","Accessories","East","482","4","856","72.99"
"2022-05-31","Printer","Office","North","483","2","112","23.33"
"2024-03-25","Headphones","Accessories","North","484","3","2247","507.79"
"2023-01-31","Keyboard","Accessories","West","485","2","1512","298.73"
"2024-06-23","Mouse","Accessories","South","486","5","4915","1196.6"
"2023-08-16","Mouse","Accessories","South","487","3","2709","663.54"
"2023-06-10","Tablet","Electronics","North","488","7","1239","118.36"
"2023-05-09","Tablet","Electronics","West","489","2","572","86.16"
"2022-05-08","Smartwatch","Electronics","North","490","2","1708","93.25"
"2024-11-06","Smartwatch","Electronics","North","491","4","360","42.66"
"2022-12-08","Camera","Electronics","North","492","6","3822","388.34"
"2022-09-25","Camera","Electronics","North","493","6","4680","932.97"
"2024-07-10","Camera","Electronics","North","494","5","2520","487.18"
"2024-03-29","Smartwatch","Electronics","North","495","2","2138","619.29"
"2022-01-11","Keyboard","Accessories","West","496","3","2529","169.6"
"2022-04-08","Keyboard","Accessories","East","497","1","236","29.33"
"2024-01-21","Tablet","Electronics","West","498","6","2730","636.48"
"2023-04-27","Headphones","Accessories","North","499","3","3021","872.49"
"2024-11-06","Smartwatch","Electronics","North","500","2","244","16.78"
"2022-05-11","Camera","Electronics","South","501","8","728","120.06"
"2022-10-02","Mouse","Accessories","North","502","3","453","89.49"
"2022-01-12","Laptop","Electronics","South","503","1","379","84.38"
"2023-01-09","Tablet","Electronics","West","504","3","2130","510.69"
"2023-05-04","Monitor","Accessories","North","505","8","4120","710.11"
"2024-09-07","Smartwatch","Electronics","South","506","7","3150","299.7"
"2022-05-17","Smartwatch","Electronics","East","507","7","2688","603.07"
"2023-08-17","Tablet","Electronics","East","508","2","1752","501.19"
"2023-09-07","Keyboard","Accessories","North","509","7","7308","948.4"
"2022-05-11","Tablet","Electronics","North","510","3","2007","160.84"
"2023-05-12","Tablet","Electronics","West","511","7","7224","479.23"
"2023-05-08","Monitor","Accessories","South","512","9","6939","1249.31"
"2023-02-18","Smartphone","Electronics","East","513","7","5516","1475.67"
"2022-01-29","Printer","Office","South","514","2","2224","116.47"
"2023-01-12","Laptop","Electronics","South","515","5","3985","824.4"
"2022-01-03","Camera","Electronics","North","516","7","2723","638.26"
"2022-10-20","Tablet","Electronics","North","517","2","746","170.75"
"2024-08-21","Laptop","Electronics","West","518","5","3170","245.25"
"2023-12-11","Smartwatch","Electronics","East","519","5","550","63.11"
"2022-08-14","Tablet","Electronics","North","520","8","480","132.45"
"2024-06-03","Printer","Office","East","521","4","3284","354.4"
"2024-01-23","Smartwatch","Electronics","South","522","2","1748","183.75"
"2023-11-20","Headphones","Accessories","North","523","8","824","240.84"
"2022-03-03","Headphones","Accessories","North","524","4","1872","448.46"
"2024-02-20","Tablet","Electronics","West","525","3","627","103.98"
"2024-08-09","Camera","Electronics","East","526","9","5661","1104.02"
"2022-06-19","Camera","Electronics","North","527","3","2910","765.47"
"2024-09-01","Tablet","Electronics","South","528","9","9036","1087.46"
"2024-08-30","Tablet","Electronics","West","529","5","4815","338.31"
"2022-08-12","Mouse","Accessories","South","530","1","1187","206.28"
"2022-08-04","Headphones","Accessories","East","531","3","3339","732.92"
"2024-02-20","Tablet","Electronics","East","532","1","620","165.43"
"2023-02-26","Camera","Electronics","West","533","5","2025","414.42"
"2024-11-20","Printer","Office","East","534","5","3030","811.92"
"2023-08-12","Smartwatch","Electronics","North","535","5","655","166.69"
"2022-01-17","Printer","Office","West","536","2","2238","294.54"
"2023-04-12","Smartphone","Electronics","South","537","8","3312","811.31"
"2023-07-26","Printer","Office","East","538","9","9387","1271.64"
"2024-01-01","Mouse","Accessories","West","539","6","5790","1285.21"
"2023-12-06","Laptop","Electronics","South","540","6","2700","527.97"
"2023-12-05","Smartwatch","Electronics","East","541","8","2072","555.06"
"2024-10-27","Keyboard","Accessories","North","542","3","2991","716.54"
"2024-08-04","Laptop","Electronics","East","543","6","5568","958.59"
"2023-02-01","Smartwatch","Electronics","North","544","7","5509","1648.74"
"2024-06-02","Printer","Office","West","545","7","5922","1323.1"
"2024-04-28","Smartphone","Electronics","South","546","4","4380","362.81"
"2022-03-25","Tablet","Electronics","South","547","5","1760","272.68"
"2024-10-05","Headphones","Accessories","North","548","9","5571","1523.81"
"2024-12-19","Tablet","Electronics","South","549","2","1082","182.1"
"2022-07-18","Camera","Electronics","East","550","1","569","138.11"
"2023-06-11","Mouse","Accessories","North","551","8","3416","697.42"
"2024-10-13","Printer","Office","West","552","1","570","57.07"
"2023-08-07","Monitor","Accessories","East","553","6","3300","386.92"
"2022-12-04","Laptop","Electronics","South","554","8","2584","568.77"
"2024-02-18","Monitor","Accessories","South","555","9","7650","2204.44"
"2024-12-05","Headphones","Accessories","West","556","8","3600","272.51"
"2023-12-15","Monitor","Accessories","West","557","6","846","190.87"
"2023-08-12","Smartphone","Electronics","West","558","1","51","9.36"
"2024-05-20","Smartwatch","Electronics","South","559","6","7056","586.91"
"2024-06-05","Smartwatch","Electronics","West","560","2","384","38.41"
"2022-01-09","Laptop","Electronics","South","561","8","2928","663.54"
"2023-12-17","Camera","Electronics","West","562","7","1904","352.86"
"2022-09-08","Tablet","Electronics","East","563","2","2314","312.07"
"2022-01-22","Printer","Office","South","564","4","1028","192.13"
"2024-09-04","Headphones","Accessories","South","565","9","8307","1326.23"
"2024-01-20","Printer","Office","West","566","9","1539","203.54"
"2022-11-03","Tablet","Electronics","West","567","7","2506","537.98"
"2023-07-03","Smartphone","Electronics","West","568","6","5778","1232.54"
"2024-01-25","Tablet","Electronics","East","569","9","10188","2165.78"
"2024-05-11","Monitor","Accessories","North","570","1","952","157.7"
"2024-01-02","Smartwatch","Electronics","West","571","8","3624","750.86"
"2023-02-24","Keyboard","Accessories","South","572","8","7968","1551.12"
"2024-07-20","Mouse","Accessories","South","573","2","1254","250.09"
"2023-06-14","Printer","Office","West","574","3","705","196.05"
"2022-04-10","Mouse","Accessories","West","575","1","916","223.5"
"2024-10-01","Printer","Office","North","576","2","848","129.96"
"2022-05-10","Monitor","Accessories","East","577","8","2240","313.17"
"2022-01-28","Monitor","Accessories","South","578","1","940","120.35"
"2023-04-05","Headphones","Accessories","West","579","5","1550","203.51"
"2023-09-22","Keyboard","Accessories","South","580","7","2352","256.4"
"2024-08-29","Smartwatch","Electronics","North","581","9","1638","183.75"
"2023-11-18","Camera","Electronics","North","582","6","7164","1442.72"
"2023-09-12","Mouse","Accessories","East","583","1","205","54.54"
"2023-05-26","Keyboard","Accessories","North","584","2","766","49.23"
"2023-04-30","Keyboard","Accessories","North","585","1","168","17.84"
"2024-11-01","Mouse","Accessories","South","586","1","1058","207.55"
"2022-05-06","Keyboard","Accessories","South","587","5","1455","423.81"
"2023-05-10","Camera","Electronics","East","588","2","2224","364.04"
"2022-11-04","Smartphone","Electronics","West","589","7","1400","80.49"
"2022-05-09","Smartphone","Electronics","East","590","7","7567","2213.18"
"2022-11-07","Tablet","Electronics","East","591","6","3396","987.68"
"2023-08-11","Smartwatch","Electronics","East","592","2","704","135.63"
"2024-10-21","Tablet","Electronics","East","593","9","7767","2172.19"
"2024-10-06","Mouse","Accessories","West","594","5","2050","157.13"
"2023-08-08","Monitor","Accessories","North","595","9","10458","2799.48"
"2022-01-19","Camera","Electronics","South","596","4","4700","619.26"
"2024-04-30","Smartphone","Electronics","North","597","2","892","222.51"
"2023-12-26","Laptop","Electronics","East","598","8","6968","1479.09"
"2024-04-07","Laptop","Electronics","North","599","7","1344","300.88"
"2022-10-18","Camera","Electronics","West","600","1","354","65.99"
"2024-04-21","Monitor","Accessories","South","601","3","3051","662.23"
"2024-03-26","Camera","Electronics","South","602","3","402","106.87"
"2022-10-31","Monitor","Accessories","North","603","5","3570","517.82"
"2023-03-03","Keyboard","Accessories","North","604","7","3829","876.35"
"2023-02-03","Mouse","Accessories","North","605","7","4676","242.64"
"2023-04-15","Keyboard","Accessories","East","606","3","1119","317.36"
"2023-05-09","Smartphone","Electronics","East","607","4","4228","764.3"
"2022-01-02","Headphones","Accessories","North","608","8","1240","251.2"
"2024-11-28","Keyboard","Accessories","North","609","9","3591","342.18"
"2022-02-05","Printer","Office","West","610","8","3952","451.08"
"2024-06-05","Keyboard","Accessories","South","611","6","3648","1050.08"
"2024-11-15","Monitor","Accessories","North","612","5","3875","768.74"
"2023-11-13","Smartwatch","Electronics","West","613","8","3416","478.9"
"2022-02-19","Tablet","Electronics","West","614","1","908","222.58"
"2024-05-06","Headphones","Accessories","South","615","4","4532","987.32"
"2023-08-04","Headphones","Accessories","East","616","4","4168","650.15"
"2023-09-23","Laptop","Electronics","North","617","3","3543","941.37"
"2024-09-14","Laptop","Electronics","East","618","6","5124","1078.57"
"2023-03-17","Smartwatch","Electronics","South","619","9","5751","1196.23"
"2023-09-29","Camera","Electronics","East","620","2","624","139.64"
"2023-12-01","Camera","Electronics","South","621","1","508","151.29"
"2023-09-13","Headphones","Accessories","South","622","4","4700","914.6"
"2022-03-14","Keyboard","Accessories","West","623","8","3216","639.78"
"2023-07-15","Laptop","Electronics","West","624","6","2844","581"
"2022-05-29","Smartphone","Electronics","West","625","5","2385","258.6"
"2023-01-16","Monitor","Accessories","South","626","8","928","170.05"
"2023-09-06","Headphones","Accessories","North","627","6","4656","673.35"
"2023-03-29","Headphones","Accessories","North","628","2","330","21.46"
"2023-11-01","Camera","Electronics","North","629","7","1799","274.11"
"2022-08-25","Printer","Office","East","630","1","1029","173.61"
"2022-12-30","Headphones","Accessories","North","631","8","5432","1619.39"
"2024-09-04","Camera","Electronics","West","632","5","5785","1191.11"
"2024-01-08","Printer","Office","North","633","1","1062","272.42"
"2022-12-27","Keyboard","Accessories","North","634","1","163","22.07"
"2024-04-14","Smartphone","Electronics","West","635","9","9162","1625.62"
"2023-02-10","Printer","Office","East","636","4","1440","130.24"
"2023-07-15","Monitor","Accessories","South","637","5","1465","149.62"
"2024-10-27","Monitor","Accessories","West","638","2","366","31.23"
"2024-07-19","Camera","Electronics","South","639","5","3135","277.28"
"2024-03-03","Keyboard","Accessories","North","640","2","630","161.04"
"2024-04-12","Monitor","Accessories","South","641","1","213","42.94"
"2024-06-20","Monitor","Accessories","North","642","4","3792","1092.85"
"2023-06-21","Mouse","Accessories","East","643","2","1932","109.07"
"2023-01-25","Keyboard","Accessories","West","644","4","4152","317.28"
"2024-02-17","Smartphone","Electronics","North","645","7","3612","529.57"
"2024-09-09","Smartphone","Electronics","East","646","2","2258","280.76"
"2022-07-09","Camera","Electronics","South","647","3","594","47.73"
"2023-09-01","Headphones","Accessories","West","648","7","8071","1799.06"
"2024-03-30","Keyboard","Accessories","North","649","7","5838","631.45"
"2024-12-22","Keyboard","Accessories","North","650","4","692","181.31"
"2024-09-08","Keyboard","Accessories","South","651","3","1704","309.06"
"2023-01-21","Printer","Office","South","652","5","3235","941.24"
"2023-10-12","Mouse","Accessories","East","653","6","4746","545.57"
"2022-08-01","Smartwatch","Electronics","South","654","8","7600","788.88"
"2023-11-03","Smartphone","Electronics","West","655","5","1935","128.01"
"2023-12-04","Laptop","Electronics","North","656","3","1638","306.29"
"2023-06-30","Keyboard","Accessories","West","657","7","4746","816.6"
"2023-02-01","Smartphone","Electronics","North","658","8","4824","1187.93"
"2022-05-09","Camera","Electronics","South","659","1","1193","153.72"
"2023-12-16","Laptop","Electronics","East","660","2","562","92.94"
"2022-03-20","Smartphone","Electronics","North","661","8","6200","1296.84"
"2024-07-28","Printer","Office","North","662","8","4128","315.48"
"2022-03-28","Printer","Office","East","663","5","5405","326.56"
"2024-11-06","Laptop","Electronics","North","664","3","1371","104.66"
"2023-01-01","Keyboard","Accessories","West","665","5","1405","194.33"
"2023-03-18","Keyboard","Accessories","North","666","3","1644","158.32"
"2024-09-18","Mouse","Accessories","West","667","6","3414","396.92"
"2024-08-19","Laptop","Electronics","East","668","8","3272","674.57"
"2022-06-18","Smartphone","Electronics","North","669","3","2655","646.91"
"2022-05-29","Smartwatch","Electronics","West","670","7","1673","458.32"
"2022-06-09","Tablet","Electronics","East","671","2","846","145.09"
"2023-05-03","Smartphone","Electronics","East","672","1","985","196.64"
"2023-11-17","Smartwatch","Electronics","North","673","9","7551","894.4"
"2022-02-08","Tablet","Electronics","North","674","5","855","217.16"
"2023-10-23","Camera","Electronics","South","675","2","396","94.55"
"2022-08-24","Tablet","Electronics","West","676","8","2296","560.48"
"2024-05-09","Monitor","Accessories","North","677","6","1704","199.94"
"2023-03-12","Smartphone","Electronics","East","678","2","1180","261.16"
"2022-10-05","Smartphone","Electronics","East","679","3","411","55.73"
"2022-01-19","Mouse","Accessories","East","680","1","745","151.22"
"2022-05-09","Printer","Office","West","681","9","10656","961.3"
"2024-05-23","Mouse","Accessories","South","682","3","1494","178.5"
"2024-07-11","Camera","Electronics","South","683","5","1755","358.01"
"2022-08-22","Camera","Electronics","South","684","9","4941","894.52"
"2024-11-03","Smartwatch","Electronics","North","685","6","6510","1539.18"
"2024-10-11","Smartphone","Electronics","South","686","5","5465","719.92"
"2024-11-09","Tablet","Electronics","South","687","3","3522","285.91"
"2024-04-01","Tablet","Electronics","West","688","6","1656","139.86"
"2022-07-07","Printer","Office","North","689","5","1255","257.15"
"2023-06-10","Keyboard","Accessories","East","690","1","1192","320.13"
"2023-05-15","Tablet","Electronics","West","691","5","1925","204.74"
"2022-06-08","Tablet","Electronics","West","692","8","1688","337.33"
"2023-06-26","Headphones","Accessories","South","693","1","260","16.81"
"2022-01-19","Monitor","Accessories","West","694","5","4880","1250.66"
"2024-04-10","Keyboard","Accessories","West","695","7","1134","179.74"
"2022-06-10","Laptop","Electronics","North","696","9","9621","1201.29"
"2023-02-03","Monitor","Accessories","South","697","4","2836","698.83"
"2023-05-15","Printer","Office","North","698","9","5859","1153.89"
"2022-09-11","Smartwatch","Electronics","South","699","2","2044","460.03"
"2023-07-01","Monitor","Accessories","South","700","1","612","174.52"
"2022-02-18","Smartwatch","Electronics","North","701","3","1890","492.31"
"2023-09-30","Smartwatch","Electronics","East","702","5","2025","168.82"
"2023-09-04","Printer","Office","South","703","2","1960","312.06"
"2022-07-07","Camera","Electronics","North","704","6","4410","893.27"
"2024-07-14","Keyboard","Accessories","West","705","8","8272","2391.88"
"2022-09-27","Smartwatch","Electronics","West","706","6","5712","638.29"
"2024-04-20","Smartwatch","Electronics","North","707","6","1524","178.36"
"2024-05-24","Keyboard","Accessories","North","708","8","5160","1057.41"
"2024-12-29","Mouse","Accessories","East","709","4","2956","451.6"
"2023-05-07","Smartphone","Electronics","West","710","8","7944","2257.73"
"2024-09-10","Camera","Electronics","North","711","5","1815","535.22"
"2023-03-21","Headphones","Accessories","North","712","3","2706","546.97"
"2023-05-05","Laptop","Electronics","North","713","2","1356","144.18"
"2023-07-27","Printer","Office","South","714","6","6384","1189.19"
"2023-06-13","Smartwatch","Electronics","South","715","9","4248","964.12"
"2024-05-02","Monitor","Accessories","North","716","6","3954","676.82"
"2024-04-21","Smartphone","Electronics","South","717","6","7110","739.6"
"2023-07-25","Headphones","Accessories","South","718","7","8113","995.03"
"2023-01-26","Headphones","Accessories","North","719","3","1830","183.62"
"2023-01-11","Keyboard","Accessories","West","720","4","3732","671.19"
"2024-09-27","Mouse","Accessories","West","721","6","4062","1087.17"
"2024-12-03","Smartwatch","Electronics","North","722","1","496","93.31"
"2023-08-24","Smartwatch","Electronics","East","723","4","1104","84.31"
"2023-05-19","Smartphone","Electronics","West","724","3","2274","662"
"2022-06-13","Smartwatch","Electronics","North","725","8","4456","1106.04"
"2022-08-26","Mouse","Accessories","West","726","8","4928","1038.18"
"2023-01-22","Smartphone","Electronics","North","727","4","1740","224.79"
"2022-08-08","Headphones","Accessories","North","728","2","178","31.46"
"2023-11-19","Printer","Office","East","729","8","5296","1234.81"
"2023-06-28","Mouse","Accessories","North","730","4","4156","847.09"
"2024-10-09","Printer","Office","North","731","1","624","106.92"
"2022-09-04","Smartphone","Electronics","West","732","4","3892","1052.72"
"2024-07-18","Mouse","Accessories","South","733","9","1620","294.6"
"2022-09-22","Mouse","Accessories","West","734","3","2250","301.97"
"2024-07-31","Monitor","Accessories","West","735","2","1390","316.31"
"2023-04-21","Camera","Electronics","South","736","5","5155","1325.16"
